Title,Genre,Rating,Author,url,Description,Book_id
The Official Guide to the Revised General Test (2nd Edition),GRE,4.6,McGraw Hill Education,https://m.media-amazon.com/images/I/51ThGwpYoOL._AC_UY218_.jpg,Graduate School Test Preparation,1
Manhattan Prep GRE Set of 8 strategy guide (4th Edition),GRE,4.5,Manhattan Prep,https://m.media-amazon.com/images/I/71GPF3vuGwL._AC_UY218_.jpg,Graduate School Test Preparation,2
GRE Big Book,GRE,4.4,ETS,https://m.media-amazon.com/images/I/71HRGPJ56BL._AC_UY218_.gif,Graduate School Test Preparation,3
The Official GRE Super Power Pack,GRE,4.4,ETS,https://m.media-amazon.com/images/I/61dl09Ww7wL._AC_UY218_.jpg,Graduate School Test Preparation,4
Official GRE Verbal Reasoning Practice Questions,GRE,4.4,ETS,https://m.media-amazon.com/images/I/71JkYHYcJdL._AC_UY218_.jpg,Graduate School Test Preparation,5
Kaplan’s GRE Premier 2016,GRE,4.4,Kaplan Test Prep,"https://images-na.ssl-images-amazon.com/images/I/51yznqQ0zOL._SX371_BO1,204,203,200_.jpg",Graduate School Test Preparation,6
Cracking the GRE Premium Edition 2016 with 6 Practise Tests (Princeton Review),GRE,3.8,Princeton Review ,"https://images-na.ssl-images-amazon.com/images/I/61fmKJlVTdL._SX383_BO1,204,203,200_.jpg",Graduate School Test Preparation,7
Essential Words for the GRE,GRE,4.5,Philip Geer,"https://images-na.ssl-images-amazon.com/images/I/51oYHpU5F0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Graduate School Test Preparation,8
"Barron’s GRE, 2015",GRE,4.1,Sharon Weiner Green M.A. ,"https://images-na.ssl-images-amazon.com/images/I/51n+rBOfQvL._SX381_BO1,204,203,200_.jpg",Graduate School Test Preparation,9
Nova’s GRE Prep Course Book,GRE,4,Jeff Kolby,"https://images-eu.ssl-images-amazon.com/images/I/416e9UpSFOL._SX198_BO1,204,203,200_QL40_FMwebp_.jpg",Graduate School Test Preparation,10
Gruber’s Complete GRE Guide 2015,GRE,3.9,Gary Gruber ,https://m.media-amazon.com/images/I/913Bl8mrh-L._AC_UY218_.jpg,Graduate School Test Preparation,11
Manhattan GMAT Strategy Guides (10 books),GMAT,4.5,Manhattan Prep,https://m.media-amazon.com/images/I/71yZsCiQ4DL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,12
The Official Guide for GMAT Review,GMAT,4.5,GMAC (Graduate Management Admission Council),https://m.media-amazon.com/images/I/815F3x2msnL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,13
The Official Guide for GMAT Quantitative Review,GMAT,4.7,GMAC (Graduate Management Admission Council),https://m.media-amazon.com/images/I/51oBtIzRn3L._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,14
Kaplan GMAT Prep Plus: 6 Practise Tests + Proven Strategies + Online + Mobile,GMAT,4.5,Kaplan Test Prep,https://m.media-amazon.com/images/I/71QQE7aWaqL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,15
Kaplan GMAT Verbal Workbook,GMAT,4.6,Kaplan Test Prep,https://m.media-amazon.com/images/I/71d4-4Dud7L._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,16
The Official Guide for GMAT Verbal Review,GMAT,4.2,GMAC (Graduate Management Admission Council),https://m.media-amazon.com/images/I/61a9+lsbDpL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,17
Kaplan GMAT Math Workbook,GMAT,5,Kaplan Test Prep,https://m.media-amazon.com/images/I/91z1cx5bBxL._AC_UY218_.jpg,Manhattan Prep GRE Strategy Guides,18
Official IELTS Practise Material,IELTS ,4.2,Cambridge ESOL,https://m.media-amazon.com/images/I/41IM9FxtmOL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,19
The Official Cambridge Guide to IELTS,IELTS ,4.4,Pauline Cullen,https://m.media-amazon.com/images/I/91oc6Hcx1ML._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,20
Barron’s IELTS Superpack,IELTS ,4.5,Lin Lougheed Ph.D.,https://m.media-amazon.com/images/I/712z3ZEmxhL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,21
Cambridge English: IELTS 11 Academic with Answers,IELTS ,4.4,Cambridge English Language Assessment,https://m.media-amazon.com/images/I/71ZpLikWoJL._AC_UY218_.jpg,A comprehensive teacher resource pack to help teachers who are preparing students to take the IELTS test.,22
